Scholarship holder;Debtor;Curricular units 2nd sem (grade);Curricular units 2nd sem (approved);Gender;Curricular units 1st sem (grade);Tuition fees up to date;Curricular units 1st sem (approved);Application mode;Age at enrollment;Displaced;Marital status;Curricular units 2nd sem (without evaluations);Previous qualification;Curricular units 1st sem (without evaluations);Application order;Curricular units 2nd sem (enrolled);Admission grade;Target
0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.2857142857142857;0.05660377358490565;1.0;0.0;0.0;0.0;0.0;0.8333333333333333;0.0;0.33999999999999986;0
0.0;0.0;0.7358974358974358;0.30000000000000004;1.0;0.7417218543046358;0.0;0.23076923076923078;0.25;0.037735849056603765;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2608695652173913;0.5;1
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.037735849056603765;1.0;0.0;0.0;0.0;0.0;0.8333333333333333;0.2608695652173913;0.3136842105263158;0
0.0;0.0;0.6676923076923077;0.25;0.0;0.7114474929044465;1.0;0.23076923076923078;0.2857142857142857;0.05660377358490565;1.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.2608695652173913;0.2589473684210526;1
0.0;0.0;0.7;0.30000000000000004;0.0;0.6534216335540839;1.0;0.19230769230769232;0.6785714285714285;0.5283018867924527;0.0;0.2;0.0;0.0;0.0;0.16666666666666666;0.2608695652173913;0.4894736842105263;1
0.0;1.0;0.6192307692307691;0.25;1.0;0.6281929990539262;1.0;0.19230769230769232;0.6785714285714285;0.6226415094339623;0.0;0.2;0.41666666666666663;0.4285714285714285;0.0;0.16666666666666666;0.21739130434782608;0.20842105263157884;1
1.0;0.0;0.7724230769230769;0.4;0.0;0.704635761589404;1.0;0.2692307692307693;0.0;0.018867924528301883;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.34782608695652173;0.351578947368421;1
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.30357142857142855;0.09433962264150941;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.21739130434782608;0.19052631578947365;0
1.0;0.0;0.7615384615384615;0.30000000000000004;0.0;0.7350993377483444;1.0;0.23076923076923078;0.0;0.07547169811320753;0.0;0.0;0.0;0.0;0.0;0.5;0.2608695652173913;0.3610526315789475;1
0.0;1.0;0.7269230769230769;0.1;0.0;0.6039735099337749;0.0;0.19230769230769232;0.0;0.018867924528301883;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2608695652173913;0.2947368421052632;0
0.0;0.0;0.7646153846153845;0.25;0.0;0.6534216335540839;1.0;0.23076923076923078;0.0;0.018867924528301883;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2608695652173913;0.37473684210526303;1
1.0;0.0;0.7115384615384615;0.35000000000000003;0.0;0.7000946073793756;1.0;0.2692307692307693;0.0;0.018867924528301883;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.34782608695652173;0.25578947368421057;1
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.037735849056603765;1.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.2608695652173913;0.3705263157894736;0
1.0;0.0;0.5923076923076923;0.25;0.0;0.5600756859035004;1.0;0.23076923076923078;0.9285714285714285;0.07547169811320753;1.0;0.0;0.0;0.9761904761904762;0.0;0.16666666666666666;0.2608695652173913;0.1768421052631579;1
1.0;0.0;0.6461538461538461;0.25;0.0;0.7019867549668874;1.0;0.15384615384615385;0.0;0.018867924528301883;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.21739130434782608;0.443157894736842;1
0.0;0.0;0.0;0.0;0.0;0.6993377483443708;1.0;0.19230769230769232;0.0;0.05660377358490565;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2608695652173913;0.2705263157894737;0
0.0;0.0;0.7831923076923076;0.4;0.0;0.7049668874172186;1.0;0.2692307692307693;0.2857142857142857;0.018867924528301883;1.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.34782608695652173;0.33999999999999986;1
0.0;0.0;0.6596153846153846;0.2;0.0;0.6622516556291391;1.0;0.15384615384615385;0.0;0.05660377358490565;1.0;0.0;0.16666666666666666;0.0;0.08333333333333333;0.16666666666666666;0.21739130434782608;0.4347368421052633;1
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.07547169811320753;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.26631578947368406;1
0.0;0.0;0.6923076923076923;0.35000000000000003;0.0;0.6811731315042574;1.0;0.2692307692307693;0.0;0.018867924528301883;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.34782608695652173;0.32105263157894726;1
1.0;0.0;0.6615384615384615;0.30000000000000004;0.0;0.7086092715231788;1.0;0.23076923076923078;0.0;0.037735849056603765;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.2608695652173913;0.20947368421052626;1
0.0;0.0;0.7599999999999999;0.35000000000000003;0.0;0.704459161147903;1.0;0.23076923076923078;0.0;0.037735849056603765;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.34782608695652173;0.3042105263157895;1
0.0;0.0;0.7153846153846154;0.30000000000000004;0.0;0.6026490066225165;1.0;0.23076923076923078;0.2857142857142857;0.07547169811320753;1.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.2608695652173913;0.22526315789473683;1
0.0;0.0;0.6641025641025641;0.25;0.0;0.6357615894039735;1.0;0.19230769230769232;0.0;0.05660377358490565;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.21739130434782608;0.28526315789473666;1
0.0;0.0;0.7215384615384615;0.2;1.0;0.6799116997792495;1.0;0.23076923076923078;0.8928571428571428;0.05660377358490565;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2608695652173913;0.368421052631579;1
0.0;0.0;0.7740384615384615;0.30000000000000004;0.0;0.6710816777041942;1.0;0.23076923076923078;0.30357142857142855;0.037735849056603765;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2608695652173913;0.4157894736842105;1
0.0;0.0;0.7230769230769231;0.25;1.0;0.656953642384106;1.0;0.19230769230769232;0.0;0.32075471698113206;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.21739130434782608;0.38315789473684214;1
0.0;1.0;0.5384615384615384;0.05;1.0;0.0;0.0;0.0;0.6785714285714285;0.3773584905660377;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.30434782608695654;0.07894736842105265;0
0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.6785714285714285;0.490566037735849;1.0;0.0;0.0;0.21428571428571427;0.0;0.16666666666666666;0.21739130434782608;0.35578947368421066;0
0.0;0.0;0.6461538461538461;0.1;0.0;0.5298013245033113;1.0;0.038461538461538464;0.7499999999999999;0.7169811320754718;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.21739130434782608;0.29368421052631577;0
0.0;0.0;0.6246153846153846;0.25;0.0;0.5827814569536424;1.0;0.19230769230769232;0.6785714285714285;0.4150943396226415;1.0;0.6000000000000001;0.0;0.0;0.0;0.16666666666666666;0.21739130434782608;0.19894736842105276;1
0.0;1.0;0.6461538461538461;0.15000000000000002;0.0;0.6181015452538631;0.0;0.11538461538461539;0.7678571428571428;0.05660377358490565;0.0;0.0;0.0;0.9047619047619047;0.0;0.16666666666666666;0.2608695652173913;0.26315789473684204;0
0.0;1.0;0.0;0.0;0.0;0.6754966887417219;1.0;0.15384615384615385;0.0;0.018867924528301883;0.0;0.0;0.0;0.0;0.0;0.8333333333333333;0.21739130434782608;0.27473684210526317;0
0.0;0.0;0.8507692307692307;0.25;0.0;0.7841059602649006;1.0;0.19230769230769232;0.0;0.09433962264150941;1.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.21739130434782608;0.2673684210526317;1
0.0;0.0;0.7723076923076921;0.35000000000000003;0.0;0.737907284768212;1.0;0.19230769230769232;0.0;0.09433962264150941;1.0;0.0;0.0;0.0;0.0;1.0;0.34782608695652173;0.05894736842105264;1
